series,model,origin,mae
s6,daily_naive,3288,326.06202925
s6,daily_naive,3312,233.88902279166663
s6,daily_naive,3336,256.93366058333334
s6,daily_naive,3360,311.40581683333335
s6,daily_naive,3384,324.12329937500004
s6,daily_naive,3408,206.030863875
s7,seasonal_naive,3264,349.15518245833346
s7,seasonal_naive,3288,298.81957654166666
s7,seasonal_naive,3312,259.1378886250001
s7,seasonal_naive,3336,328.33983016666673
s7,seasonal_naive,3360,292.94395554166675
s7,seasonal_naive,3384,410.02917874999997
s7,seasonal_naive,3408,354.97047549999996
s7,seasonal_naive,3432,383.1007858333334
s7,seasonal_naive,3456,366.5719659583333
s7,seasonal_naive,3480,313.21361974999996
s7,daily_naive,3264,673.6099400416667
s7,daily_naive,3288,690.7535444583333
s7,daily_naive,3312,305.45127491666665
s7,daily_naive,3336,583.7195719166667
s7,daily_naive,3360,743.0018424166666
s7,daily_naive,3384,510.3033403333333
s7,daily_naive,3408,334.0578538333334
s7,daily_naive,3432,723.7457042916667
s7,daily_naive,3456,595.6812450000001
s7,daily_naive,3480,430.16524062499997
s8,seasonal_naive,3336,1020.2061305833332
s8,seasonal_naive,3360,743.6311204999998
s8,seasonal_naive,3384,682.6362752916666
s8,seasonal_naive,3408,935.51459025
s8,seasonal_naive,3432,746.1148072916666
s8,seasonal_naive,3456,756.4581620416666
s8,seasonal_naive,3480,728.7027097916667
s8,seasonal_naive,3504,1262.2507062083332
s8,seasonal_naive,3528,672.3150657499999
s8,seasonal_naive,3552,832.085957375
s8,daily_naive,3336,1360.6919869166668
s8,daily_naive,3360,1615.6211701666664
s8,daily_naive,3384,972.0519234583331
s8,daily_naive,3408,1098.8671067916666
s8,daily_naive,3432,1576.3565810833334
s8,daily_naive,3456,1441.9370479583333
s8,daily_naive,3480,1037.2191424999999
s8,daily_naive,3504,1198.66871825
s8,daily_naive,3528,1960.860860625
s8,daily_naive,3552,773.6904623333334
s9,seasonal_naive,3408,1469.191288916667
s9,seasonal_naive,3432,1632.080556208334
s9,seasonal_naive,3456,1918.6589757916665
s9,seasonal_naive,3480,2140.197110708333
s9,seasonal_naive,3504,2235.625637208333
s9,seasonal_naive,3528,1379.7946250833331
s9,seasonal_naive,3552,1594.242072291666
s9,seasonal_naive,3576,1444.8502379583333
s9,seasonal_naive,3600,1642.3080017916673
s9,seasonal_naive,3624,1763.3703966666665
s9,daily_naive,3408,2279.7021645000004
s9,daily_naive,3432,3105.1125623333332
s9,daily_naive,3456,3494.5709916250003
s9,daily_naive,3480,2246.9598114166665
s9,daily_naive,3504,2909.0540672500006
s9,daily_naive,3528,4007.2235412916666
s9,daily_naive,3552,2390.904504541666
s9,daily_naive,3576,1540.8153406666668
s9,daily_naive,3600,3703.09035825
s9,daily_naive,3624,3142.8630289166667
